filepath,class_name,duration_sec,sample_rate,channels,filesize_bytes
fa_him\clip_001.wav,fa_him,1.0,48000,2,192044
fa_him\clip_002.wav,fa_him,1.0,48000,2,192044
fa_him\clip_003.wav,fa_him,1.0,48000,2,192044
fa_him\clip_004.wav,fa_him,1.0,48000,2,192044
fa_him\clip_005.wav,fa_him,1.0,48000,2,192044
fa_him\clip_006.wav,fa_him,1.0,48000,2,192044
fa_him\clip_007.wav,fa_him,1.0,48000,2,192044
fa_him\clip_008.wav,fa_him,1.0,48000,2,192044
fa_him\clip_009.wav,fa_him,1.0,48000,2,192044
fa_him\clip_010.wav,fa_him,1.0,48000,2,192044
fa_him\clip_011.wav,fa_him,1.0,48000,2,192044
fa_him\clip_012.wav,fa_him,1.0,48000,2,192044
fa_him\clip_013.wav,fa_him,1.0,48000,2,192044
fa_him\clip_014.wav,fa_him,1.0,48000,2,192044
fa_him\clip_015.wav,fa_him,1.0,48000,2,192044
fa_him\clip_016.wav,fa_him,1.0,48000,2,192044
fa_him\clip_017.wav,fa_him,1.0,48000,2,192044
fa_him\clip_018.wav,fa_him,1.0,48000,2,192044
fa_him\clip_019.wav,fa_him,1.0,48000,2,192044
fa_him\clip_020.wav,fa_him,1.0,48000,2,192044
fa_him\clip_021.wav,fa_him,1.0,48000,2,192044
fa_him\clip_022.wav,fa_him,1.0,48000,2,192044
fa_him\clip_023.wav,fa_him,1.0,48000,2,192044
fa_him\clip_024.wav,fa_him,1.0,48000,2,192044
fa_him\clip_025.wav,fa_him,1.0,48000,2,192044
fa_him\clip_026.wav,fa_him,1.0,48000,2,192044
fa_him\clip_027.wav,fa_him,1.0,48000,2,192044
fa_him\clip_028.wav,fa_him,1.0,48000,2,192044
fa_him\clip_029.wav,fa_him,1.0,48000,2,192044
fa_him\clip_030.wav,fa_him,1.0,48000,2,192044
fa_him\clip_031.wav,fa_him,1.0,48000,2,192044
fa_him\clip_032.wav,fa_him,1.0,48000,2,192044
fa_him\clip_033.wav,fa_him,1.0,48000,2,192044
fa_him\clip_034.wav,fa_him,1.0,48000,2,192044
fa_him\clip_035.wav,fa_him,1.0,48000,2,192044
fa_him\clip_036.wav,fa_him,1.0,48000,2,192044
fa_him\clip_037.wav,fa_him,1.0,48000,2,192044
fa_him\clip_038.wav,fa_him,1.0,48000,2,192044
fa_him\clip_039.wav,fa_him,1.0,48000,2,192044
fa_him\clip_040.wav,fa_him,1.0,48000,2,192044
fa_him\clip_041.wav,fa_him,1.0,48000,2,192044
fa_him\clip_042.wav,fa_him,1.0,48000,2,192044
fa_him\clip_043.wav,fa_him,1.0,48000,2,192044
fa_him\clip_044.wav,fa_him,1.0,48000,2,192044
fa_him\clip_045.wav,fa_him,1.0,48000,2,192044
fa_him\clip_046.wav,fa_him,1.0,48000,2,192044
fa_him\clip_047.wav,fa_him,1.0,48000,2,192044
fa_him\clip_048.wav,fa_him,1.0,48000,2,192044
fa_him\clip_049.wav,fa_him,1.0,48000,2,192044
fa_him\clip_050.wav,fa_him,1.0,48000,2,192044
fa_him\clip_051.wav,fa_him,1.0,48000,2,192044
fa_him\clip_052.wav,fa_him,1.0,48000,2,192044
fa_him\clip_053.wav,fa_him,1.0,48000,2,192044
fa_him\clip_054.wav,fa_him,1.0,48000,2,192044
fa_him\clip_055.wav,fa_him,1.0,48000,2,192044
fa_him\clip_056.wav,fa_him,1.0,48000,2,192044
fa_him\clip_057.wav,fa_him,1.0,48000,2,192044
fa_him\clip_058.wav,fa_him,1.0,48000,2,192044
fa_him\clip_059.wav,fa_him,1.0,48000,2,192044
fa_him\clip_060.wav,fa_him,1.0,48000,2,192044
fa_him\clip_061.wav,fa_him,1.0,48000,2,192044
fa_him\clip_062.wav,fa_him,1.0,48000,2,192044
fa_him\clip_063.wav,fa_him,1.0,48000,2,192044
fa_him\clip_064.wav,fa_him,1.0,48000,2,192044
fa_him\clip_065.wav,fa_him,1.0,48000,2,192044
fa_him\clip_066.wav,fa_him,1.0,48000,2,192044
fa_him\clip_067.wav,fa_him,1.0,48000,2,192044
fa_him\clip_068.wav,fa_him,1.0,48000,2,192044
fa_him\clip_069.wav,fa_him,1.0,48000,2,192044
fa_him\clip_070.wav,fa_him,1.0,48000,2,192044
fa_him\clip_071.wav,fa_him,1.0,48000,2,192044
fa_him\clip_072.wav,fa_him,1.0,48000,2,192044
fa_him\clip_073.wav,fa_him,1.0,48000,2,192044
fa_him\clip_074.wav,fa_him,1.0,48000,2,192044
fa_him\clip_075.wav,fa_him,1.0,48000,2,192044
fa_him\clip_076.wav,fa_him,1.0,48000,2,192044
fa_him\clip_077.wav,fa_him,1.0,48000,2,192044
fa_him\clip_078.wav,fa_him,1.0,48000,2,192044
fa_him\clip_079.wav,fa_him,1.0,48000,2,192044
fa_him\clip_080.wav,fa_him,1.0,48000,2,192044
fa_him\clip_081.wav,fa_him,1.0,48000,2,192044
fa_him\clip_082.wav,fa_him,1.0,48000,2,192044
fa_him\clip_083.wav,fa_him,1.0,48000,2,192044
fa_him\clip_084.wav,fa_him,1.0,48000,2,192044
fa_him\clip_085.wav,fa_him,1.0,48000,2,192044
fa_him\clip_086.wav,fa_him,1.0,48000,2,192044
fa_him\clip_087.wav,fa_him,1.0,48000,2,192044
fa_him\clip_088.wav,fa_him,1.0,48000,2,192044
fa_him\clip_089.wav,fa_him,1.0,48000,2,192044
fa_him\clip_090.wav,fa_him,1.0,48000,2,192044
fa_him\clip_091.wav,fa_him,1.0,48000,2,192044
fa_him\clip_092.wav,fa_him,1.0,48000,2,192044
fa_him\clip_093.wav,fa_him,1.0,48000,2,192044
fa_him\clip_094.wav,fa_him,1.0,48000,2,192044
fa_him\clip_095.wav,fa_him,1.0,48000,2,192044
fa_him\clip_096.wav,fa_him,1.0,48000,2,192044
fa_him\clip_097.wav,fa_him,1.0,48000,2,192044
fa_him\clip_098.wav,fa_him,1.0,48000,2,192044
fa_him\clip_099.wav,fa_him,1.0,48000,2,192044
fa_him\clip_100.wav,fa_him,1.0,48000,2,192044
fa_him\clip_101.wav,fa_him,1.0,48000,2,192044
fa_him\clip_102.wav,fa_him,1.0,48000,2,192044
fa_him\clip_103.wav,fa_him,1.0,48000,2,192044
fa_him\clip_104.wav,fa_him,1.0,48000,2,192044
fa_him\clip_105.wav,fa_him,1.0,48000,2,192044
fa_him\clip_106.wav,fa_him,1.0,48000,2,192044
fa_him\clip_107.wav,fa_him,1.0,48000,2,192044
fa_him\clip_108.wav,fa_him,1.0,48000,2,192044
fa_him\clip_109.wav,fa_him,1.0,48000,2,192044
fa_him\clip_110.wav,fa_him,1.0,48000,2,192044
fa_him\clip_111.wav,fa_him,1.0,48000,2,192044
fa_him\clip_112.wav,fa_him,1.0,48000,2,192044
fa_him\clip_113.wav,fa_him,1.0,48000,2,192044
fa_him\clip_114.wav,fa_him,1.0,48000,2,192044
fa_him\clip_115.wav,fa_him,1.0,48000,2,192044
fa_him\clip_116.wav,fa_him,1.0,48000,2,192044
fa_him\clip_117.wav,fa_him,1.0,48000,2,192044
fa_him\clip_118.wav,fa_him,1.0,48000,2,192044
fa_him\clip_119.wav,fa_him,1.0,48000,2,192044
fa_him\clip_120.wav,fa_him,1.0,48000,2,192044
fa_him\clip_121.wav,fa_him,1.0,48000,2,192044
fa_him\clip_122.wav,fa_him,1.0,48000,2,192044
fa_him\clip_123.wav,fa_him,1.0,48000,2,192044
fa_him\clip_124.wav,fa_him,1.0,48000,2,192044
fa_him\clip_125.wav,fa_him,1.0,48000,2,192044
fa_him\clip_126.wav,fa_him,1.0,48000,2,192044
fa_him\clip_127.wav,fa_him,1.0,48000,2,192044
fa_him\clip_128.wav,fa_him,1.0,48000,2,192044
fa_him\clip_129.wav,fa_him,1.0,48000,2,192044
fa_him\clip_130.wav,fa_him,1.0,48000,2,192044
fa_him\clip_131.wav,fa_him,1.0,48000,2,192044
fa_him\clip_132.wav,fa_him,1.0,48000,2,192044
fa_him\clip_133.wav,fa_him,1.0,48000,2,192044
fa_him\clip_134.wav,fa_him,1.0,48000,2,192044
fa_him\clip_135.wav,fa_him,1.0,48000,2,192044
fa_him\clip_136.wav,fa_him,1.0,48000,2,192044
fa_him\clip_137.wav,fa_him,1.0,48000,2,192044
fa_him\clip_138.wav,fa_him,1.0,48000,2,192044
fa_him\clip_139.wav,fa_him,1.0,48000,2,192044
fa_him\clip_140.wav,fa_him,1.0,48000,2,192044
fa_him\clip_141.wav,fa_him,1.0,48000,2,192044
fa_him\clip_142.wav,fa_him,1.0,48000,2,192044
fa_him\clip_143.wav,fa_him,1.0,48000,2,192044
fa_him\clip_144.wav,fa_him,1.0,48000,2,192044
