feature,class
"[-3.8824490e+02  9.9130867e+01 -8.2311783e+00  3.3184612e+01
  3.2007844e+00  1.3599410e+01 -1.6151299e+01  1.1109165e+01
 -1.4908040e+00  1.1766356e+01 -6.1261854e+00  1.1858744e+01
 -2.3780882e+00  1.2962902e+01  1.3708888e+00  8.0266085e+00
  2.8024776e+00  2.0828295e+00  5.0888095e+00  7.7533740e-01
  4.6175928e+00  3.6462662e+00  3.9776456e+00  1.7294663e+00
  5.0798283e+00  1.8694373e+00  6.1806474e+00  3.3101966e+00
  8.2461065e-01  2.8142648e-02  3.7303564e-01  3.4114418e+00
  1.2331086e+00  1.7535148e+00  3.1207666e+00  2.6144617e+00
  2.6201670e+00 -2.8521067e-01  9.0236020e-01  1.4576615e-01]",fa_him
"[-2.79434448e+02  1.13942116e+02  6.80960369e+00  3.97715569e+01
 -9.55024242e+00  7.41083479e+00 -5.50800657e+00  1.30343056e+01
 -4.68947935e+00  7.48042297e+00 -5.69010925e+00  1.43446388e+01
 -1.04689884e+01  1.03123512e+01 -3.31998467e+00  3.57590938e+00
 -1.25522149e+00 -3.82908940e-01  2.16837668e+00  3.55630904e-01
 -2.19454789e+00 -1.10216796e+00 -1.48435450e+00  1.26866341e-01
 -1.91209412e+00  8.35331142e-01 -1.03479946e+00  2.73724914e+00
 -1.12656021e+00 -1.14871681e+00 -8.09894919e-01 -1.56244540e+00
  1.18208337e+00 -3.25375056e+00  2.52618194e-01  1.60215080e+00
  4.23875928e-01 -2.83359742e+00 -1.77681625e+00 -7.00079024e-01]",fa_him
"[-2.6004456e+02  1.3932921e+02  8.4316607e+00  2.7911119e+01
 -2.0116370e+00  3.9225638e+00 -9.4901857e+00  1.2244006e+01
 -7.6705594e+00  8.6995773e+00 -2.2684288e+00  1.0284326e+01
 -3.9861670e+00  7.7088957e+00 -6.9980273e+00 -4.3743315e-01
 -2.2548859e+00 -2.2267816e+00  4.6537509e+00 -1.7643253e+00
  2.0603850e+00  2.7243249e+00 -3.9799414e+00 -1.9766304e+00
 -1.6412854e-01 -2.7062666e+00  1.3512022e+00 -3.2324955e-01
 -1.9060246e+00  7.9651773e-01 -1.9131528e+00 -1.5527076e+00
 -3.3331947e+00 -8.6106110e-01 -1.1018736e-01 -1.7582990e+00
 -3.8728084e-02 -6.4743197e-01  9.9062067e-01 -1.7075965e+00]",fa_him
"[-2.52893265e+02  1.22768631e+02  2.75238781e+01  4.34726028e+01
  7.01012707e+00 -1.11411905e+01 -1.27074833e+01  5.75010633e+00
 -4.08524628e+01 -4.70827293e+00 -2.08536339e+01  2.54697418e+00
 -1.12210751e+01 -9.80296880e-02 -6.36922741e+00  7.40903258e-01
 -1.11867361e+01 -1.04898477e+00 -3.45253277e+00 -8.26377010e+00
  2.06835246e+00 -5.47691298e+00 -8.27428722e+00 -8.27639866e+00
 -4.89920235e+00 -2.84480309e+00 -5.17694473e+00 -6.32804537e+00
 -1.01784525e+01 -4.87544060e+00 -7.61353302e+00 -5.10910320e+00
 -9.28675270e+00 -5.59584665e+00 -2.13235903e+00 -7.75246763e+00
  9.35802400e-01  1.39620697e+00  7.83097696e+00  7.68446207e+00]",fa_him
"[-245.82233      92.865204     22.449747     41.443047    -15.159901
    6.432272     -9.583848     -2.2364213   -28.961384     -0.3626858
  -16.843412     10.943627    -11.983814      9.41723      -6.810044
    2.0883467    -7.1931443    -3.2431536    -1.9550608    -8.851515
    1.9142499    -3.5875094    -7.8124967    -6.7823186    -1.5326717
   -2.172186     -3.937883     -2.7134829    -8.512852     -2.530592
   -4.6841917    -3.5206847    -6.948141     -0.7166779    -0.8376348
   -4.508359     -3.5971854    -3.1481466     0.49152747   -3.655188  ]",fa_him
"[-220.38214      68.75889      29.776653     39.826847    -25.625587
   13.19243     -17.177841      0.92045176  -30.685455      6.8071637
  -18.287706     13.051444    -17.846905     16.882206     -9.257319
    1.1837392   -10.899517     -1.7191494    -4.037494     -9.753246
   -1.4629813     2.7803478   -13.23222      -4.959187     -5.54374
   -0.24755803   -7.1988482    -5.377536     -8.022164     -4.3488994
   -1.5530683    -7.3345647    -8.074249     -2.3581002    -4.01157
   -1.669079     -4.535735     -0.44774148   -1.9498582    -1.6915892 ]",fa_him
"[-240.39404     138.85138       4.4664845    19.908295    -16.746836
   -5.35894     -17.192316      7.729101    -33.157295      1.5662824
   -7.284086     12.511798    -17.439018      6.416802     -3.6466064
    1.6677146    -8.586375    -12.046915      3.718135     -6.4117794
   -1.5868424     1.3025699   -13.106204     -2.5777876    -2.0652885
   -0.72777104   -2.7781358    -5.1564975    -8.639865     -4.7231236
   -3.057088     -5.168907     -7.5047684    -3.9081018    -4.2261434
   -3.1262047    -7.0204067    -1.5887647    -1.0770788    -7.180261  ]",fa_him
"[-3.43458466e+02  9.86386032e+01 -5.46334982e+00  4.73102684e+01
  4.35850334e+00  5.96870852e+00 -1.57906151e+01  1.49190464e+01
 -1.70431671e+01  1.04426126e+01 -1.40335598e+01  7.25416422e+00
 -9.74286938e+00  1.34050045e+01 -1.31024635e+00  6.36510468e+00
 -2.21563554e+00  2.36538827e-01  3.78772330e+00 -3.95440197e+00
  3.85565925e+00 -2.66872239e+00 -3.60360169e+00 -3.90657187e+00
  2.34404087e-01 -2.06280276e-02 -8.24376643e-01 -9.23220038e-01
 -5.42334938e+00 -1.46622705e+00 -3.30494213e+00  1.52071729e-01
 -5.37036324e+00  5.01829028e-01 -4.00246501e-01  4.52101111e-01
 -9.52973545e-01 -4.54717651e-02  2.49591231e+00 -3.61009073e+00]",fa_him
"[-3.7263962e+02  8.4331108e+01 -1.0032979e+01  4.0936031e+01
 -8.2902756e+00  2.4274170e+01 -2.3733318e+01  2.1805702e+01
 -2.3900898e+01  1.6657240e+01 -2.0935339e+01  1.8014404e+01
 -1.6409819e+01  1.7115076e+01 -6.6645250e+00  1.3980409e+01
 -2.3896661e+00  1.0268386e+01  1.2417970e+00  4.0894675e+00
 -2.9174087e+00  4.0577564e-01 -5.4567995e+00 -4.8772071e-02
 -5.3062177e+00  2.0962582e+00 -3.4374087e+00  3.8459709e+00
 -6.0620332e+00  3.4562340e+00 -8.6020269e+00  2.2772005e+00
 -7.1288619e+00  1.3660499e+00 -3.6603353e+00  4.9138546e+00
  7.4519761e-02  5.0974460e+00  1.3942596e+00  1.7361672e+00]",fa_him
"[-3.9927615e+02  1.0544803e+02 -1.0950667e+01  4.2203369e+01
 -8.6651020e+00  2.3490385e+01 -2.5013256e+01  1.9271688e+01
 -2.3484938e+01  2.2859491e+01 -2.1202066e+01  2.0218676e+01
 -1.7452080e+01  1.4520484e+01 -6.4809084e+00  1.2071383e+01
 -3.8282759e+00  8.0474205e+00  1.2535688e+00  4.6193471e+00
 -1.6559912e-01 -2.6010625e+00 -3.5532005e+00 -1.1069541e+00
 -3.9410827e+00  3.0967674e-01 -1.9893622e+00  2.0697863e+00
 -5.6650043e+00  3.1112750e+00 -6.6289201e+00  3.6172311e+00
 -7.0224781e+00  1.0325158e+00 -4.9096826e-01  5.6463971e+00
  1.9753071e+00  1.8075043e+00  8.2763869e-01  3.3950236e-01]",fa_him
